Unnamed: 0,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN_CITY_NAME,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DELAY_GROUP,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,3,1,3,AA,1008,"Atlanta, GA","Dallas/Fort Worth, TX",1634,1632.0,0.0,-1.0,3,0.0,0.0,0.0,0.0,0.0
4,3,1,3,AA,1046,"Atlanta, GA","Miami, FL",1125,1127.0,2.0,0.0,3,0.0,0.0,0.0,0.0,0.0
6,3,1,3,AA,1151,"Atlanta, GA","Miami, FL",600,553.0,0.0,-1.0,3,0.0,0.0,0.0,0.0,0.0
7,3,1,3,AA,1393,"Atlanta, GA","Los Angeles, CA",1700,1654.0,0.0,-1.0,8,0.0,0.0,32.0,0.0,0.0
8,3,1,3,AA,1411,"Atlanta, GA","Charlotte, NC",1621,1611.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,0.0
11,3,1,3,AA,1650,"Atlanta, GA","Chicago, IL",1720,1710.0,0.0,-1.0,3,0.0,0.0,0.0,0.0,0.0
13,3,1,3,AA,1718,"Atlanta, GA","Charlotte, NC",710,702.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,0.0
16,3,1,3,AA,1990,"Atlanta, GA","Miami, FL",1647,1729.0,42.0,2.0,3,38.0,0.0,0.0,0.0,0.0
20,3,1,3,AA,2129,"Atlanta, GA","Charlotte, NC",830,821.0,0.0,-1.0,1,0.0,0.0,0.0,0.0,0.0
21,3,1,3,AA,2226,"Atlanta, GA","Washington, DC",1421,1411.0,0.0,-1.0,3,0.0,0.0,0.0,0.0,0.0
23,3,1,3,AA,2231,"Atlanta, GA","Dallas/Fort Worth, TX",940,940.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
24,3,1,3,AA,2286,"Atlanta, GA","Miami, FL",1833,1944.0,71.0,4.0,3,0.0,0.0,3.0,0.0,71.0
26,3,1,3,AA,2344,"Atlanta, GA","Miami, FL",703,700.0,0.0,-1.0,3,0.0,0.0,18.0,0.0,0.0
30,3,1,3,AA,2403,"Atlanta, GA","Dallas/Fort Worth, TX",1822,1813.0,0.0,-1.0,3,0.0,0.0,0.0,0.0,0.0
33,3,1,3,AA,2461,"Atlanta, GA","Phoenix, AZ",1809,1802.0,0.0,-1.0,7,0.0,0.0,0.0,0.0,0.0
35,3,1,3,AA,2770,"Atlanta, GA","Dallas/Fort Worth, TX",600,555.0,0.0,-1.0,3,0.0,0.0,17.0,0.0,0.0
36,3,1,3,AA,2893,"Atlanta, GA","Chicago, IL",740,735.0,0.0,-1.0,3,0.0,0.0,0.0,0.0,0.0
47,3,1,3,AA,4226,"Atlanta, GA","Chicago, IL",1138,1137.0,0.0,-1.0,3,0.0,0.0,0.0,0.0,0.0
48,3,1,3,AA,4326,"Atlanta, GA","Washington, DC",2039,2029.0,0.0,-1.0,3,0.0,0.0,0.0,0.0,0.0
51,3,1,3,AA,4356,"Atlanta, GA","New York, NY",2059,2051.0,0.0,-1.0,4,0.0,0.0,0.0,0.0,0.0
52,3,1,3,AA,4467,"Atlanta, GA","Washington, DC",1116,1110.0,0.0,-1.0,3,0.0,0.0,0.0,0.0,0.0
55,3,1,3,AA,4490,"Atlanta, GA","New York, NY",600,554.0,0.0,-1.0,4,0.0,0.0,0.0,0.0,0.0
56,3,1,3,AA,4609,"Atlanta, GA","New York, NY",1139,1138.0,0.0,-1.0,4,0.0,0.0,0.0,0.0,0.0
