MONTH,DAY_OF_MONTH,DAY_OF_WEEK,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN_CITY_NAME,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DELAY_GROUP,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2,1,3,AA,1006,"Miami, FL","Atlanta, GA",2155,2204,9.00,0,3,,,,,
2,1,3,AA,1008,"Atlanta, GA","Dallas/Fort Worth, TX",1629,,,,3,,,,,
2,1,3,AA,1008,"Dallas/Fort Worth, TX","Atlanta, GA",1230,1603,213.00,12,3,213.00,0.00,94.00,0.00,0.00
2,1,3,AA,1045,"Miami, FL","Atlanta, GA",2015,2011,0.00,-1,3,,,,,
2,1,3,AA,1046,"Atlanta, GA","Miami, FL",1123,1116,0.00,-1,3,,,,,
2,1,3,AA,1046,"Miami, FL","Atlanta, GA",0830,0824,0.00,-1,3,,,,,
2,1,3,AA,1151,"Atlanta, GA","Miami, FL",0600,0553,0.00,-1,3,,,,,
2,1,3,AA,1164,"Atlanta, GA","Philadelphia, PA",1505,1455,0.00,-1,3,,,,,
2,1,3,AA,1181,"Atlanta, GA","Washington, DC",1439,1616,97.00,6,3,0.00,0.00,0.00,0.00,82.00
2,1,3,AA,1181,"Washington, DC","Atlanta, GA",1159,1354,115.00,7,3,0.00,0.00,0.00,0.00,103.00
2,1,3,AA,1347,"Atlanta, GA","Charlotte, NC",1230,1226,0.00,-1,1,,,,,
2,1,3,AA,1393,"Atlanta, GA","Los Angeles, CA",1705,1713,8.00,0,8,,,,,
2,1,3,AA,1411,"Atlanta, GA","Charlotte, NC",1631,1623,0.00,-1,1,,,,,
2,1,3,AA,1411,"Charlotte, NC","Atlanta, GA",1430,1431,1.00,0,1,,,,,
2,1,3,AA,1448,"Atlanta, GA","Phoenix, AZ",1816,2137,201.00,12,7,176.00,0.00,0.00,0.00,0.00
2,1,3,AA,1614,"Charlotte, NC","Savannah, GA",0915,0908,0.00,-1,1,,,,,
2,1,3,AA,1614,"Savannah, GA","Charlotte, NC",1107,1058,0.00,-1,1,,,,,
2,1,3,AA,1718,"Atlanta, GA","Charlotte, NC",0650,0642,0.00,-1,1,,,,,
2,1,3,AA,1813,"Philadelphia, PA","Atlanta, GA",0857,0851,0.00,-1,3,,,,,
2,1,3,AA,1898,"Charlotte, NC","Savannah, GA",1622,1617,0.00,-1,1,,,,,
2,1,3,AA,1898,"Savannah, GA","Charlotte, NC",1814,1801,0.00,-1,1,,,,,
2,1,3,AA,2040,"Charlotte, NC","Atlanta, GA",1058,1049,0.00,-1,1,,,,,
2,1,3,AA,2072,"Dallas/Fort Worth, TX","Atlanta, GA",1917,,,,3,,,,,
2,1,3,AA,2129,"Atlanta, GA","Charlotte, NC",0910,0904,0.00,-1,1,,,,,
2,1,3,AA,2231,"Atlanta, GA","Dallas/Fort Worth, TX",0930,,,,3,,,,,
2,1,3,AA,2286,"Atlanta, GA","Miami, FL",1711,1702,0.00,-1,3,,,,,
2,1,3,AA,2286,"Miami, FL","Atlanta, GA",1422,1420,0.00,-1,3,,,,,
2,1,3,AA,2344,"Atlanta, GA","Miami, FL",0700,0656,0.00,-1,3,,,,,
2,1,3,AA,2366,"Chicago, IL","Atlanta, GA",1700,1654,0.00,-1,3,,,,,
2,1,3,AA,2403,"Atlanta, GA","Dallas/Fort Worth, TX",1813,,,,3,,,,,
2,1,3,AA,2403,"Dallas/Fort Worth, TX","Atlanta, GA",1425,,,,3,,,,,
2,1,3,AA,2435,"Savannah, GA","Dallas/Fort Worth, TX",0705,0843,98.00,6,4,42.00,42.00,0.00,0.00,0.00
2,1,3,AA,2461,"Phoenix, AZ","Atlanta, GA",1046,1045,0.00,-1,7,,,,,
2,1,3,AA,2649,"Charlotte, NC","Savannah, GA",2050,2045,0.00,-1,1,,,,,
2,1,3,AA,2656,"Savannah, GA","Charlotte, NC",0630,0620,0.00,-1,1,,,,,
2,1,3,AA,2749,"Dallas/Fort Worth, TX","Atlanta, GA",2049,,,,3,,,,,
2,1,3,AA,2770,"Atlanta, GA","Dallas/Fort Worth, TX",0600,,,,3,,,,,
2,1,3,AA,2845,"Charlotte, NC","Savannah, GA",1800,2046,166.00,11,1,8.00,0.00,3.00,0.00,158.00
