MONTH,DAY_OF_MONTH,DAY_OF_WEEK,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN_CITY_NAME,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DELAY_GROUP,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1,7,AA,1006,"Miami, FL","Atlanta, GA",2100,2058,0,-1,3,,,,,
1,1,7,AA,1045,"Miami, FL","Atlanta, GA",1925,1922,0,-1,3,,,,,
1,1,7,AA,1051,"Atlanta, GA","Dallas/Fort Worth, TX",1817,1816,0,-1,3,,,,,
1,1,7,AA,1051,"Dallas/Fort Worth, TX","Atlanta, GA",1425,1420,0,-1,3,,,,,
1,1,7,AA,1151,"Atlanta, GA","Miami, FL",0602,0553,0,-1,3,,,,,
1,1,7,AA,1181,"Atlanta, GA","Washington, DC",1424,1439,15,1,3,,,,,
1,1,7,AA,1181,"Washington, DC","Atlanta, GA",1145,1211,26,1,3,16,0,0,0,0
1,1,7,AA,1388,"Atlanta, GA","Miami, FL",1822,1814,0,-1,3,0,0,19,0,0
1,1,7,AA,1411,"Atlanta, GA","Charlotte, NC",1253,1247,0,-1,1,,,,,
1,1,7,AA,1411,"Charlotte, NC","Atlanta, GA",1100,1055,0,-1,1,,,,,
1,1,7,AA,1448,"Atlanta, GA","Phoenix, AZ",1804,1758,0,-1,7,,,,,
1,1,7,AA,1614,"Savannah, GA","Charlotte, NC",1045,1038,0,-1,1,,,,,
1,1,7,AA,1898,"Charlotte, NC","Savannah, GA",1322,1314,0,-1,1,,,,,
1,1,7,AA,1898,"Savannah, GA","Charlotte, NC",1510,1503,0,-1,1,,,,,
1,1,7,AA,2040,"Atlanta, GA","Charlotte, NC",1813,1809,0,-1,1,,,,,
1,1,7,AA,2040,"Charlotte, NC","Atlanta, GA",1620,1621,1,0,1,,,,,
1,1,7,AA,2072,"Dallas/Fort Worth, TX","Atlanta, GA",1917,1928,11,0,3,,,,,
1,1,7,AA,2129,"Atlanta, GA","Charlotte, NC",0855,0853,0,-1,1,,,,,
1,1,7,AA,2174,"Atlanta, GA","Charlotte, NC",2000,1956,0,-1,1,,,,,
1,1,7,AA,2174,"Charlotte, NC","Atlanta, GA",1805,1801,0,-1,1,,,,,
1,1,7,AA,2192,"Charlotte, NC","Atlanta, GA",2230,2223,0,-1,1,,,,,
1,1,7,AA,2231,"Atlanta, GA","Dallas/Fort Worth, TX",0930,0937,7,0,3,,,,,
1,1,7,AA,2286,"Miami, FL","Atlanta, GA",1539,1533,0,-1,3,,,,,
1,1,7,AA,2307,"Atlanta, GA","Los Angeles, CA",1230,1226,0,-1,8,,,,,
1,1,7,AA,2344,"Atlanta, GA","Miami, FL",0705,0656,0,-1,3,,,,,
1,1,7,AA,2349,"Charlotte, NC","Savannah, GA",1825,1826,1,0,1,,,,,
1,1,7,AA,2349,"Savannah, GA","Charlotte, NC",2015,2246,151,10,1,145,0,1,0,6
1,1,7,AA,2366,"Chicago, IL","Atlanta, GA",1915,1914,0,-1,3,0,0,15,0,0
1,1,7,AA,2403,"Atlanta, GA","Dallas/Fort Worth, TX",2012,2024,12,0,3,,,,,
1,1,7,AA,2403,"Dallas/Fort Worth, TX","Atlanta, GA",1621,1646,25,1,3,0,0,0,0,20
1,1,7,AA,2435,"Savannah, GA","Dallas/Fort Worth, TX",0705,0700,0,-1,4,,,,,
